"","companyName","marketcap","week52high","week52low","week52highSplitAdjustOnly","week52lowSplitAdjustOnly","week52change","sharesOutstanding","float","avg10Volume","avg30Volume","day200MovingAvg","day50MovingAvg","employees","ttmEPS","ttmDividendRate","dividendYield","nextDividendDate","exDividendDate","nextEarningsDate","peRatio","beta","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","symbol"
"3235","Second Sight Medical Products Inc",50443745,8.75,1.14,8.75,1.14,-0.852023121387283,39409176,0,171530,228360,1.94,1.35,12,-1.15,0,0,NA,NA,2022-05-12,-2.35092255580929,1.34213883841703,144.454545454545,-0.867768595041322,0.207547169811321,-0.855530474040632,-0.214723926380368,-0.558620689655172,-0.214723926380368,0.024,0.024,-0.146666666666667,"EYES"
"3234","Second Sight Medical Products Inc",50443745,8.75,1.14,8.75,1.14,-0.852023121387283,39409176,0,171530,228360,1.94,1.35,12,-1.15,0,0,NA,NA,2022-05-12,-2.35092255580929,1.34213883841703,144.454545454545,-0.867768595041322,0.207547169811321,-0.855530474040632,-0.214723926380368,-0.558620689655172,-0.214723926380368,0.024,0.024,-0.146666666666667,"EYES"
"3233","National Vision Holdings Inc",3521707657,65.92,34.7,65.92,34.7,-0.0951683748169839,81407944,0,535877,582009,47.33,41.41,12792,1.33,0,0,NA,NA,2022-05-12,27.4609935547862,1.15408137420457,0.554437657204456,0.554437657204456,0.775133360689372,-0.0873417721518988,-0.0985622004584289,-0.220821325648415,0.00768693221523397,0.061074319352465,0.061074319352465,-0.0498572369866023,"EYE"
"3232","National Vision Holdings Inc",3521707657,65.92,34.7,65.92,34.7,-0.0951683748169839,81407944,0,535877,582009,47.33,41.41,12792,1.33,0,0,NA,NA,2022-05-12,27.4609935547862,1.15408137420457,0.554437657204456,0.554437657204456,0.775133360689372,-0.0873417721518988,-0.0985622004584289,-0.220821325648415,0.00768693221523397,0.061074319352465,0.061074319352465,-0.0498572369866023,"EYE"
"3231","National Vision Holdings Inc",3521707657,65.92,34.7,65.92,34.7,-0.0951683748169839,81407944,0,535877,582009,47.33,41.41,12792,1.33,0,0,NA,NA,2022-05-12,27.4609935547862,1.15408137420457,0.554437657204456,0.554437657204456,0.775133360689372,-0.0873417721518988,-0.0985622004584289,-0.220821325648415,0.00768693221523397,0.061074319352465,0.061074319352465,-0.0498572369866023,"EYE"
"3230","Extreme Networks Inc.",1485947982,16.61,8.98,16.61,8.98,0.213080168776371,129212868,0,940178,1177197,12.27,11.75,2584,0.2992,0,0,NA,NA,2022-04-27,37.3025726622317,1.97643312875566,1.74463007159905,0.633522727272727,3.02097902097902,0.222104144527099,-0.267515923566879,0.12855740922473,-0.211788896504455,0.0397830018083183,0.0397830018083183,-0.0865766481334392,"EXTR"
"3229","Extreme Networks Inc.",1485947982,16.61,8.98,16.61,8.98,0.213080168776371,129212868,0,940178,1177197,12.27,11.75,2584,0.2992,0,0,NA,NA,2022-04-27,37.3025726622317,1.97643312875566,1.74463007159905,0.633522727272727,3.02097902097902,0.222104144527099,-0.267515923566879,0.12855740922473,-0.211788896504455,0.0397830018083183,0.0397830018083183,-0.0865766481334392,"EXTR"
"3228","Extreme Networks Inc.",1485947982,16.61,8.98,16.61,8.98,0.213080168776371,129212868,0,940178,1177197,12.27,11.75,2584,0.2992,0,0,NA,NA,2022-04-27,37.3025726622317,1.97643312875566,1.74463007159905,0.633522727272727,3.02097902097902,0.222104144527099,-0.267515923566879,0.12855740922473,-0.211788896504455,0.0397830018083183,0.0397830018083183,-0.0865766481334392,"EXTR"
"3227","Extreme Networks Inc.",1485947982,16.61,8.98,16.61,8.98,0.213080168776371,129212868,0,940178,1177197,12.27,11.75,2584,0.2992,0,0,NA,NA,2022-04-27,37.3025726622317,1.97643312875566,1.74463007159905,0.633522727272727,3.02097902097902,0.222104144527099,-0.267515923566879,0.12855740922473,-0.211788896504455,0.0397830018083183,0.0397830018083183,-0.0865766481334392,"EXTR"
"3226","Extreme Networks Inc.",1485947982,16.61,8.98,16.61,8.98,0.213080168776371,129212868,0,940178,1177197,12.27,11.75,2584,0.2992,0,0,NA,NA,2022-04-27,37.3025726622317,1.97643312875566,1.74463007159905,0.633522727272727,3.02097902097902,0.222104144527099,-0.267515923566879,0.12855740922473,-0.211788896504455,0.0397830018083183,0.0397830018083183,-0.0865766481334392,"EXTR"
