"","changePercent","change","label","fVolume","fLow","fHigh","fClose","fOpen","uVolume","uLow","uHigh","uClose","uOpen","marketChangeOverTime","changeOverTime","updated","date","subkey","key","id","volume","symbol","open","low","high","close"
"33",0,0,"Dec 31, 18",56533,17.0208,17.86,17.63,17.33,56533,17.0208,17.86,17.63,17.33,0,0,1647302657303.09,2018-12-31,NA,"CYBE","HISTORICAL_PRICES",56533,"CYBE",17.33,17.0208,17.86,17.63
"34",0,0,"Jan 2, 18",105762,15,15.95,15.95,15,105762,15,15.95,15.95,15,0,0,1647302657300.21,2018-01-02,NA,"CYBE","HISTORICAL_PRICES",105762,"CYBE",15,15,15.95,15.95
"35",0,0,"Dec 31, 21",137745,84.38,85.97,85.42,84.69,137745,84.38,85.97,85.42,84.69,0,0,1647302657310.58,2021-12-31,NA,"CWST","HISTORICAL_PRICES",137745,"CWST",84.69,84.38,85.97,85.42
"36",0,0,"Dec 31, 20",263292,60.51,62.15,61.95,61.2,263292,60.51,62.15,61.95,61.2,0,0,1647302657296.88,2020-12-31,NA,"CWST","HISTORICAL_PRICES",263292,"CWST",61.2,60.51,62.15,61.95
"37",0,0,"Dec 31, 19",194593,45.44,46.16,46.03,45.75,194593,45.44,46.16,46.03,45.75,0,0,1647302657296.13,2019-12-31,NA,"CWST","HISTORICAL_PRICES",194593,"CWST",45.75,45.44,46.16,46.03
"38",0,0,"Dec 31, 18",270252,27.82,28.78,28.49,28.22,270252,27.82,28.78,28.49,28.22,0,0,1647302657294.81,2018-12-31,NA,"CWST","HISTORICAL_PRICES",270252,"CWST",28.22,27.82,28.78,28.49
"39",0,0,"Jan 2, 18",452861,22.76,23.29,23.16,22.9,452861,22.76,23.29,23.16,22.9,0,0,1647302657307.13,2018-01-02,NA,"CWST","HISTORICAL_PRICES",452861,"CWST",22.9,22.76,23.29,23.16
"40",0,0,"Dec 31, 21",92623,10.4797,10.7761,10.5578,10.657,92623,10.5613,10.86,10.64,10.74,0,0,1649197272000,2021-12-31,NA,"CWCO","HISTORICAL_PRICES",92623,"CWCO",10.74,10.5613,10.86,10.64
"41",0,0,"Dec 31, 20",48608,11.4729,11.7911,11.6175,11.7718,48608,11.9,12.23,12.05,12.21,0,0,1649196988000,2020-12-31,NA,"CWCO","HISTORICAL_PRICES",48608,"CWCO",12.21,11.9,12.23,12.05
"42",0,0,"Dec 31, 19",36289,15.2229,15.4577,15.3074,15.3826,36289,16.21,16.46,16.3,16.38,0,0,1649197139000,2019-12-31,NA,"CWCO","HISTORICAL_PRICES",36289,"CWCO",16.38,16.21,16.46,16.3
"43",0,0,"Dec 31, 18",32007,10.3534,10.849,10.7022,10.8215,32007,11.28,11.82,11.66,11.79,0,0,1649197277000,2018-12-31,NA,"CWCO","HISTORICAL_PRICES",32007,"CWCO",11.79,11.28,11.82,11.66
"44",0,0,"Jan 2, 18",57397,11.1361,11.4563,11.2703,11.4492,57397,12.45,12.808,12.6,12.8,0,0,1649197256000,2018-01-02,NA,"CWCO","HISTORICAL_PRICES",57397,"CWCO",12.8,12.45,12.808,12.6
"45",0,0,"Mar 31, 21",322000,63.52,65.25,64.5,63.52,322000,63.52,65.25,64.5,63.52,0,0,1647302657307.13,2021-03-31,NA,"CVLT","HISTORICAL_PRICES",322000,"CVLT",63.52,63.52,65.25,64.5
"46",0,0,"Mar 31, 20",1440661,39.195,41.28,40.48,40.97,1440661,39.195,41.28,40.48,40.97,0,0,1647302657303.49,2020-03-31,NA,"CVLT","HISTORICAL_PRICES",1440661,"CVLT",40.97,39.195,41.28,40.48
"47",0,0,"Apr 1, 19",306354,64.7,65.9,65.62,65.06,306354,64.7,65.9,65.62,65.06,0,0,1647302657307.13,2019-04-01,NA,"CVLT","HISTORICAL_PRICES",306354,"CVLT",65.06,64.7,65.9,65.62
"48",0,0,"Apr 2, 18",1844271,62.15,64.25,63.4,62.9,1844271,62.15,64.25,63.4,62.9,0,0,1647302657307.77,2018-04-02,NA,"CVLT","HISTORICAL_PRICES",1844271,"CVLT",62.9,62.15,64.25,63.4
"49",0,0,"Mar 31, 17",327050,50.5,51.025,50.8,50.6,327050,50.5,51.025,50.8,50.6,0,0,1647302657303.45,2017-03-31,NA,"CVLT","HISTORICAL_PRICES",327050,"CVLT",50.6,50.5,51.025,50.8
"50",0,0,"Dec 31, 21",110921,25.7589,26.7761,26.3572,26.2076,110921,25.83,26.85,26.43,26.28,0,0,1647302657305.46,2021-12-31,NA,"CVLG","HISTORICAL_PRICES",110921,"CVLG",26.28,25.83,26.85,26.43
"51",0,0,"Dec 31, 20",52145,14.7692,15.2878,14.7692,15.2878,52145,14.81,15.33,14.81,15.33,0,0,1647302657303.49,2020-12-31,NA,"CVLG","HISTORICAL_PRICES",52145,"CVLG",15.33,14.81,15.33,14.81
"52",0,0,"Dec 31, 19",121596,12.54,12.96,12.925,12.57,121596,12.54,12.96,12.925,12.57,0,0,1647302657296.88,2019-12-31,NA,"CVLG","HISTORICAL_PRICES",121596,"CVLG",12.57,12.54,12.96,12.925
"53",0,0,"Dec 31, 18",73524,18.7312,19.2,19.2,18.92,73524,18.7312,19.2,19.2,18.92,0,0,1647302657310.58,2018-12-31,NA,"CVLG","HISTORICAL_PRICES",73524,"CVLG",18.92,18.7312,19.2,19.2
"54",0,0,"Jan 2, 18",156726,27.9415,29.5854,28.0814,28.9309,156726,27.96,29.605,28.1,28.95,0,0,1647302657310.58,2018-01-02,NA,"CVLG","HISTORICAL_PRICES",156726,"CVLG",28.95,27.96,29.605,28.1
"55",0,0,"Nov 1, 21",226573,38.3202,41.1407,40.9364,39.3414,226573,39.4,42.3,42.09,40.45,0,0,1647302657303.45,2021-11-01,NA,"CVGW","HISTORICAL_PRICES",226573,"CVGW",40.45,39.4,42.3,42.09
"56",0,0,"Nov 3, 20",54720,64.6219,66.393,65.1771,65.8377,54720,67.5,69.35,68.08,68.77,0,0,1647302657299.42,2020-11-03,NA,"CVGW","HISTORICAL_PRICES",54720,"CVGW",68.77,67.5,69.35,68.08
"57",0,0,"Oct 31, 19",131419,80.9475,83.9904,81.9587,83.4517,131419,85.66,88.88,86.73,88.31,0,0,1647302657303.49,2019-10-31,NA,"CVGW","HISTORICAL_PRICES",131419,"CVGW",88.31,85.66,88.88,86.73
"58",0,0,"Oct 31, 18",102026,88.1635,93.7193,90.7263,93.7193,102026,94.26,100.2,97,100.2,0,0,1647302657299.42,2018-10-31,NA,"CVGW","HISTORICAL_PRICES",102026,"CVGW",100.2,94.26,100.2,97
"59",0,0,"Oct 31, 17",118136,66.1784,68.1628,68.0244,66.3168,118136,71.7,73.85,73.7,71.85,0,0,1647302657300.89,2017-10-31,NA,"CVGW","HISTORICAL_PRICES",118136,"CVGW",71.85,71.7,73.85,73.7
"60",0,0,"Dec 31, 21",181715,8,8.26,8.06,8,181715,8,8.26,8.06,8,0,0,1647302657303.49,2021-12-31,NA,"CVGI","HISTORICAL_PRICES",181715,"CVGI",8,8,8.26,8.06
"61",0,0,"Dec 31, 20",235242,8.6,8.9,8.65,8.6,235242,8.6,8.9,8.65,8.6,0,0,1647302657303.49,2020-12-31,NA,"CVGI","HISTORICAL_PRICES",235242,"CVGI",8.6,8.6,8.9,8.65
"62",0,0,"Dec 31, 19",147570,6.25,6.46,6.35,6.27,147570,6.25,6.46,6.35,6.27,0,0,1647302657300.61,2019-12-31,NA,"CVGI","HISTORICAL_PRICES",147570,"CVGI",6.27,6.25,6.46,6.35
"63",0,0,"Dec 31, 18",145397,5.51,5.815,5.7,5.66,145397,5.51,5.815,5.7,5.66,0,0,1647302657300.61,2018-12-31,NA,"CVGI","HISTORICAL_PRICES",145397,"CVGI",5.66,5.51,5.815,5.7
"64",0,0,"Jan 2, 18",225621,10.67,11.31,11.11,10.69,225621,10.67,11.31,11.11,10.69,0,0,1647302657300.89,2018-01-02,NA,"CVGI","HISTORICAL_PRICES",225621,"CVGI",10.69,10.67,11.31,11.11
"65",0,0,"Mar 29, 21",71981,225.01,232.88,230.81,230.36,71981,225.01,232.88,230.81,230.36,0,0,1647302657303.49,2021-03-29,NA,"CVCO","HISTORICAL_PRICES",71981,"CVCO",230.36,225.01,232.88,230.81
"66",0,0,"Mar 30, 20",48336,145.8803,151.81,151.4,150.7,48336,145.8803,151.81,151.4,150.7,0,0,1647302657300.61,2020-03-30,NA,"CVCO","HISTORICAL_PRICES",48336,"CVCO",150.7,145.8803,151.81,151.4
"67",0,0,"Apr 1, 19",156923,117.81,121.15,119.75,117.83,156923,117.81,121.15,119.75,117.83,0,0,1647302657296.88,2019-04-01,NA,"CVCO","HISTORICAL_PRICES",156923,"CVCO",117.83,117.81,121.15,119.75
"68",0,0,"Apr 2, 18",75296,168.45,173.2,170.85,173.2,75296,168.45,173.2,170.85,173.2,0,0,1647302657303.09,2018-04-02,NA,"CVCO","HISTORICAL_PRICES",75296,"CVCO",173.2,168.45,173.2,170.85
