"","companyName","marketcap","week52high","week52low","week52highSplitAdjustOnly","week52lowSplitAdjustOnly","week52change","sharesOutstanding","float","avg10Volume","avg30Volume","day200MovingAvg","day50MovingAvg","employees","ttmEPS","ttmDividendRate","dividendYield","nextDividendDate","exDividendDate","nextEarningsDate","peRatio","beta","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","symbol"
"405","Funko Inc",656832281,27.2,15.28,27.2,15.28,-0.080472706809229,40197814,0,1453487,716801,17.86,17.35,777,1.08,0,0,NA,NA,2022-05-05,14.9620109512528,1.82799384642071,1.31117397454031,1.31117397454031,2.57549234135667,-0.080472706809229,-0.130851063829787,-0.0927262631871184,-0.0554913294797689,-0.0809898762654668,-0.0896935933147632,-0.162051282051282,"FNKO"
"406","First Bancorp Inc (ME)",326958061,36.8,26.43,36.8,26.97,0.0263803194332837,10986494,0,13868,15102,30.23,31,253,3.71,1.25102133614015,0.0420370072627738,NA,2022-01-07,2022-04-20,8.02055835741445,0.662963129566732,2.32172515403161,0.373777287436124,0.783873210732011,0.0263803194332837,-0.0431791145548661,0.0846390185766301,-0.026436055888328,-0.0312499999999999,-0.0353322528363047,-0.0178217821782178,"FNLC"
"407","Amicus Therapeutics Inc",2601472615,12.63,7.6,12.63,7.6,-0.13821892393321,280029345,0,2845654,2785162,10.49,8.87,483,-0.9228,0,0,NA,NA,2022-05-09,-10.3867787872315,1.35242141098606,-0.356202356202356,0.23046357615894,0.401206636500754,-0.13821892393321,-0.195670995670996,-0.150045745654163,-0.0963035019455253,0.0231277533039647,0.0153005464480873,0.17743979721166,"FOLD"
"408","Fonar Corp.",113584459,20.26,14.24,20.26,14.24,-0.134797803295058,6554210,0,25499,25965,16.29,16.59,424,1.51,0,0,NA,NA,2022-05-12,11.0956152158891,0.658068612396315,1.46164772727273,-0.0398891966759004,0.265887509130752,-0.134797803295058,0.156875834445928,0.0182138660399529,0.0865203761755486,0.0609121518212425,0.057997557997558,-0.0318435754189944,"FONR"
"409","FormFactor Inc.",3071466730,51.37,32.69,51.37,32.69,-0.12982689747004,78333760,0,323344,329561,40.83,40.9,2166,1.06,0,0,NA,NA,2022-04-27,36.5981927648825,1.9496734425683,0.0526174496644296,2.54841628959276,1.11147011308562,-0.12982689747004,-0.142388451443569,-0.00633552965027872,-0.0906771799628942,-0.0197499999999999,-0.0445906432748537,-0.00959838343015917,"FORM"
"410","Forrester Research Inc.",955604220,60.9,39.64,60.9,39.64,0.111013021408078,18983000,0,43857,47393,53.66,52.78,1798,1.28,0,0,NA,NA,2022-05-04,38.4641853163742,0.800443476786125,1.30700488073142,0.393182428299814,0.675207986688852,0.111013021408078,-0.142857142857143,0.0597894736842106,-0.115134470029882,-0.0268702880340227,-0.033595699750432,-0.0446004934522679,"FORR"
"411","Fossil Group Inc",453667921,20,8.54,20,8.54,-0.400413507925569,52145738,0,2541817,1303508,12.13,12.3,7500,0.4819,0,0,NA,NA,2022-05-11,17.8370653691908,1.98896306615829,-0.614703277236492,-0.490035169988277,1.265625,-0.400413507925569,-0.154518950437318,-0.294403892944039,-0.166666666666667,-0.30952380952381,-0.3203125,-0.341408024224073,"FOSL"
"412","Fox Corporation",21360606357,44.69,33.74,44.95,34.16,-0.0693150840527034,315806280,0,3605533,3425828,39.27,41.16,9000,2.47,0.478623066225017,0.0121694143459196,NA,2022-03-01,2022-05-04,14.875074064429,0.647013921511086,0.0142008752091967,0.0142008752091967,0.539491298527443,-0.0693150840527034,0.0720038813463693,0.100638611062915,0.0743347892714026,-0.0885495121781652,-0.100977198697068,-0.0787069571328179,"FOXA"
"413","Fox Factory Holding Corp",4278522140,190.29,94.66,190.29,94.66,-0.256024316999927,42121803,0,424931,326610,150.86,120.41,3000,3.87,0,0,NA,NA,2022-05-05,26.1175337247738,1.6746397816222,4.45808704997313,2.84753787878788,1.10147925933589,-0.256024316999927,-0.402851263962375,-0.329139422759395,-0.425318246110325,-0.181044908489881,-0.210577446180151,-0.0193570187294844,"FOXF"
"414","Republic First Bancorp, Inc.",308571440,5.67,2.91,5.67,2.91,0.313924050632912,59454998,0,428215,443944,3.79,5.03,483,0.274,0,0,NA,NA,2022-04-21,15.7025820375553,0.684781352732219,-0.559130833658959,-0.35125,1.19915254237288,0.313924050632912,0.395161290322581,0.647619047619048,0.474431818181818,0.00776699029126204,0.00776699029126204,0.0277227722772277,"FRBK"
"415","Fiesta Restaurant Group Inc",230335840,17.02,8.51,17.02,8.51,-0.470136014192785,25707125,0,71945,62401,10.55,9.68,8020,0.409,0,0,NA,NA,2022-05-12,22.2117492767599,1.0113007387286,-0.2832,-0.587096774193548,0.894291754756871,-0.470136014192785,-0.186194368755676,-0.210572687224669,-0.0753353973168214,-0.0781893004115226,-0.0676378772112382,-0.0695742471443406,"FRGI"
"416","First Merchants Corp.",2333676219,49.01,37.15,50.37,37.67,-0.109433311219785,53820946,0,272254,250493,41.76,42.94,1907,3.81,1.14800963594602,0.026476236991375,NA,2022-03-03,2022-04-21,11.3543758292423,0.873781313164033,1.06684843747021,0.236352645640688,0.713583388990543,-0.109433311219785,0.0419720570777682,0.137959179388662,0.0756075719200935,0.00340639810426535,0.00641543417913093,0.00579911853398273,"FRME"
"417","FRP Holdings Inc",532287744,65,45,65,45,0.110761979575805,9411028,0,9260,9160,57.02,56.13,16,3.23,0,0,NA,NA,2022-05-02,17.5672522666667,0.764560042020251,0.817480719794345,0.512299465240642,0.535704588650557,0.110761979575805,-0.0214532871972317,0.0253807106598987,0.00106194690265493,0.0218608852755193,0.0179985601151909,-0.0130867213400803,"FRPH"
